Point_ID,Lat,Lon,UTM_E,UTM_N,x,y,z,mps,change_flag,yaw
6183,47.54037097382618,17.701514769129812,703297.73,5268753.568,703297.73,5268753.568,0,10,0,1.9890206573342522
6184,47.540371799290725,17.70151427570117,703297.69,5268753.658,703297.69,5268753.658,0,10,0,1.984934876481732
6185,47.54037262475527,17.701513782272528,703297.65,5268753.749,703297.65,5268753.749,0,10,0,1.9982606401433833
6186,47.54037345021982,17.701513288843884,703297.609,5268753.839,703297.609,5268753.839,0,10,0,1.98493487755387
6187,47.540374275684364,17.70151279541524,703297.569,5268753.93,703297.569,5268753.93,0,10,0,1.9890206573342522
6188,47.54037510114891,17.7015123019866,703297.529,5268754.02,703297.529,5268754.02,0,10,0,1.998260636239465
6189,47.54037592661346,17.701511808557957,703297.488,5268754.11,703297.488,5268754.11,0,10,0,1.98493487755387
6190,47.540376752078004,17.701511315129313,703297.448,5268754.201,703297.448,5268754.201,0,10,0,1.98902065625411
6191,47.54037757754255,17.70151082170067,703297.408,5268754.291,703297.408,5268754.291,0,10,0,1.98493487755387
6192,47.5403784030071,17.70151032827203,703297.368,5268754.382,703297.368,5268754.382,0,10,0,1.9982606401433833
6193,47.54037922847164,17.701509834843385,703297.327,5268754.472,703297.327,5268754.472,0,10,0,1.98493487755387
6194,47.54038005393619,17.70150934141474,703297.287,5268754.563,703297.287,5268754.563,0,10,0,1.9890206573342522
6195,47.540380879400736,17.701508847986098,703297.247,5268754.653,703297.247,5268754.653,0,10,0,1.9941070821480382
6196,47.54038170486528,17.701508354557458,703297.206,5268754.744,703297.206,5268754.744,0,10,0,1.9890206573342522
6197,47.54038253032983,17.701507861128814,703297.166,5268754.834,703297.166,5268754.834,0,10,0,1.98902065625411
6198,47.540383355794376,17.70150736770017,703297.126,5268754.924,703297.126,5268754.924,0,10,0,1.9941070832114587
6199,47.54038418125892,17.701506874271526,703297.085,5268755.015,703297.085,5268755.015,0,10,0,1.9890206524136045
6200,47.54038500672347,17.701506380842886,703297.045,5268755.105,703297.045,5268755.105,0,10,0,1.98493487755387
6201,47.540385832188015,17.701505887414243,703297.005,5268755.196,703297.005,5268755.196,0,10,0,1.9982606401433833
6202,47.54038665765256,17.7015053939856,703296.964,5268755.286,703296.964,5268755.286,0,10,0,1.98493487755387
6203,47.54038748311711,17.701504900556955,703296.924,5268755.377,703296.924,5268755.377,0,10,0,1.9890206573342522
6204,47.540388308581655,17.701504407128315,703296.884,5268755.467,703296.884,5268755.467,0,10,0,1.9982606401433833
6205,47.5403891340462,17.70150391369967,703296.843,5268755.557,703296.843,5268755.557,0,10,0,1.98493487755387
6206,47.54038995951075,17.701503420271028,703296.803,5268755.648,703296.803,5268755.648,0,10,0,1.98902065625411
6207,47.540390784975294,17.701502926842384,703296.763,5268755.738,703296.763,5268755.738,0,10,0,1.9941070832114587
6208,47.54039161043984,17.701502433413744,703296.722,5268755.829,703296.722,5268755.829,0,10,0,1.98902065625411
6209,47.54039243590439,17.7015019399851,703296.682,5268755.919,703296.682,5268755.919,0,10,0,1.98493487755387
6210,47.54039326136893,17.701501446556456,703296.642,5268756.01,703296.642,5268756.01,0,10,0,1.9982606401433833
6211,47.54039408683348,17.701500953127812,703296.601,5268756.1,703296.601,5268756.1,0,10,0,1.98493487755387
6212,47.54039491229803,17.70150045969917,703296.561,5268756.191,703296.561,5268756.191,0,10,0,1.9890206534937467
6213,47.54039573776257,17.70149996627053,703296.521,5268756.281,703296.521,5268756.281,0,10,0,1.9982606401433833
6214,47.54039656322712,17.701499472841885,703296.48,5268756.371,703296.48,5268756.371,0,10,0,1.98493487755387
6215,47.540397388691666,17.70149897941324,703296.44,5268756.462,703296.44,5268756.462,0,10,0,1.98902065625411
6216,47.54039821415621,17.701498485984597,703296.4,5268756.552,703296.4,5268756.552,0,10,0,1.9941070821480382
6217,47.54039903962076,17.701497992555957,703296.359,5268756.643,703296.359,5268756.643,0,10,0,1.9890206573342522
6218,47.540399865085305,17.701497499127314,703296.319,5268756.733,703296.319,5268756.733,0,10,0,1.98493487755387
6219,47.54040069054985,17.70149700569867,703296.279,5268756.824,703296.279,5268756.824,0,10,0,1.9982606401433833
6220,47.5404015160144,17.701496512270026,703296.238,5268756.914,703296.238,5268756.914,0,10,0,1.9890206573342522
6221,47.540402341478945,17.701496018841386,703296.198,5268757.004,703296.198,5268757.004,0,10,0,1.984934876481732
6222,47.54040316694349,17.701495525412742,703296.158,5268757.095,703296.158,5268757.095,0,10,0,1.9890206573342522
6223,47.54040399240804,17.7014950319841,703296.118,5268757.185,703296.118,5268757.185,0,10,0,1.9941070821480382
6224,47.540404817872584,17.701494538555455,703296.077,5268757.276,703296.077,5268757.276,0,10,0,1.9890206534937467
6225,47.54040564333713,17.701494045126815,703296.037,5268757.366,703296.037,5268757.366,0,10,0,1.98493487755387
6226,47.54040646880168,17.70149355169817,703295.997,5268757.457,703295.997,5268757.457,0,10,0,1.9982606401433833
6227,47.540407294266224,17.701493058269527,703295.956,5268757.547,703295.956,5268757.547,0,10,0,1.98493487755387
6228,47.54040811973077,17.701492564840883,703295.916,5268757.638,703295.916,5268757.638,0,10,0,1.98902065625411
